Ab dilution	Ag dilution	Absorbance	Known?	
64000	10	1.206	1	
32000	40	1.675	1	
40000	40	1.673	1	
80000	40	0.756	1	
64000	100	0.982	1	
32000	400	1.019	1	
40000	400	1.129	1	
64000	1000	0.461	1	
80000	1000	0.361	1	
40000	4000	0.116	1	
32000	10000	0.037	1	
64000	10000	0.044	1	
80000	10000	0.044	1	
40000	40000	0.012	1	
40000	10	1.637	1	
32000	10	1.870	1	
80000	10	0.780	1	
64000	40	1.235	1	
40000	100	1.878	1	
32000	100	1.791	1	
80000	100	0.900	1	
80000	400	0.970	1	
64000	400	0.886	1	
40000	1000	0.442	1	
32000	1000	0.438	1	
32000	4000	0.106	1	
80000	4000	0.111	1	
64000	4000	0.084	1	
40000	10000	0.034	1	
32000	40000	0.009	1	
80000	40000	0.009	1	
64000	40000	0.011	1	
32000	100000	0.004	1	
40000	100000	0.004	1	
64000	100000	0.005	1	
80000	100000	0.005	1	
32000	400000	0.001	1	
40000	400000	0.001	1	
64000	400000	0.001	1	
80000	400000	0.001	1	
32000	1000000	0.000	1	
40000	1000000	0.000	1	
64000	1000000	0.000	1	
80000	1000000	0.000	1	
32000	4000000	0.000	1	
40000	4000000	0.000	1	
64000	4000000	0.000	1	
80000	4000000	0.000	1	
