capital,long,lat,name,abbreviation
沈阳市,123.429092,41.796768,辽宁省,辽
长春市,125.324501,43.886841,吉林省,吉
哈尔滨市,126.642464,45.756966,黑龙江省,黑
北京市,116.405289,39.904987,北京市,京
天津市,117.190186,39.125595,天津市,津
呼和浩特市,111.75199,40.84149,内蒙古自治区,内蒙古
银川市,106.23248,38.48644,宁夏回族自治区,宁
太原市,112.549248,37.857014,山西省,晋
石家庄市,114.502464,38.045475,河北省,冀
济南市,117.000923,36.675808,山东省,鲁
郑州市,113.665413,34.757977,河南省,豫
西安市,108.948021,34.263161,陕西省,陕/秦
武汉市,114.298569,30.584354,湖北省,鄂
南京市,118.76741,32.041546,江苏省,苏
合肥市,117.283043,31.861191,安徽省,皖
上海市,121.472641,31.231707,上海市,沪
长沙市,112.982277,28.19409,湖南省,湘
南昌市,115.892151,28.676493,江西省,赣
杭州市,120.15358,30.287458,浙江省,浙
福州市,119.306236,26.075302,福建省,闽
广州市,113.28064,23.125177,广东省,粤
台北市,121.520076,25.030724,台湾省,台
海口市,110.19989,20.04422,海南省,琼
南宁市,108.320007,22.82402,广西壮族自治区,桂
重庆市,106.504959,29.533155,重庆市,渝
昆明市,102.71225,25.040609,云南省,云/滇
贵阳市,106.713478,26.578342,贵州省,黔/贵
成都市,104.065735,30.659462,四川省,川/蜀
兰州市,103.83417,36.06138,甘肃省,甘/陇
西宁市,101.77782,36.61729,青海省,青
拉萨市,91.1145,29.64415,西藏自治区,藏
乌鲁木齐市,87.61688,43.82663,新疆维吾尔自治区,新
香港,114.16546,22.27534,香港特别行政区,港
澳门,113.54913,22.19875,澳门特别行政区,澳
